file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
144316693.png,9.0,0.86875707,1114,74,1364,74,1364,292,1114,292
144316693.png,6.0,0.74311554,1114,75,1364,75,1364,292,1114,292
144316693.png,13.0,0.71895397,1114,75,1364,75,1364,292,1114,292
163017168.png,27.0,0.97132665,754,167,991,167,991,427,754,427
130250827.png,7.0,0.9619937,1136,135,1404,135,1404,426,1136,426
131515855.png,31.0,0.97057885,771,125,1017,125,1017,371,771,371
122109586.png,33.0,0.94887346,893,471,1161,471,1161,759,893,759
140832660.png,33.0,0.9630421,818,186,1072,186,1072,443,818,443
140832660.png,26.0,0.81797785,1173,177,1435,177,1435,408,1173,408
140832660.png,24.0,0.707594,427,144,643,144,643,445,427,445
083140506.png,22.0,0.973971,928,130,1140,130,1140,368,928,368
110007112.png,33.0,0.97647995,930,637,1209,637,1209,936,930,936
164433909.png,17.0,0.9279725,388,259,642,259,642,506,388,506
125922167.png,17.0,0.97134393,1164,136,1439,136,1439,427,1164,427
132259626.png,4.0,0.97462374,1095,65,1342,65,1342,317,1095,317
111652153.png,24.0,0.9610461,1140,96,1366,96,1366,367,1140,367
152742877.png,30.0,0.9629293,381,310,632,310,632,554,381,554
134119349.png,21.0,0.97597116,1128,57,1396,57,1396,349,1128,349
071722808.png,13.0,0.97091407,1095,186,1349,186,1349,421,1095,421
161544056.png,24.0,0.81446415,1192,150,1426,150,1426,423,1192,423
161544056.png,11.0,0.70998424,1415,499,1744,499,1744,989,1415,989
180955279.png,6.0,0.7403139,884,640,1175,640,1175,912,884,912
142308548.png,4.0,0.7463689,777,129,999,129,999,359,777,359
142308548.png,7.0,0.741133,777,129,1000,129,1000,359,777,359
151431587.png,2.0,0.8117574,708,20,950,20,950,268,708,268
120803135.png,5.0,0.9661774,1126,74,1384,74,1384,309,1126,309
120803135.png,27.0,0.9066086,712,63,941,63,941,315,712,315
181315383.png,15.0,0.97193974,364,452,628,452,628,705,364,705
113250734.png,26.0,0.98023945,1147,178,1422,178,1422,465,1147,465
113250734.png,15.0,0.879667,662,0,911,0,911,207,662,207
113250734.png,17.0,0.7816444,662,0,911,0,911,207,662,207
142320543.png,17.0,0.97801346,736,0,1007,0,1007,284,736,284
125216273.png,0.0,0.9515495,745,128,996,128,996,364,745,364
125216273.png,1.0,0.8541761,746,128,996,128,996,364,746,364
165013678.png,7.0,0.9174774,829,247,1090,247,1090,523,829,523
165013678.png,28.0,0.7934825,1475,733,1779,733,1779,1043,1475,1043
165013678.png,32.0,0.74775445,1475,734,1778,734,1778,1044,1475,1044
120214350.png,21.0,0.9746494,1071,14,1330,14,1330,301,1071,301
162512260.png,17.0,0.9511109,1126,121,1401,121,1401,418,1126,418
090737505.png,23.0,0.9662764,858,439,1091,439,1091,695,858,695
141651418.png,13.0,0.9776604,497,297,756,297,756,540,497,540
114257610.png,14.0,0.90837926,1252,339,1529,339,1529,586,1252,586
130503927.png,24.0,0.97822547,423,281,658,281,658,567,423,567
130503927.png,14.0,0.9731463,1266,341,1541,341,1541,602,1266,602
